match_id,tiratore,distanza,angolo,difensori_cono,portiere_cono,goal
3930166,Pavel Šulc,18.061284561182244,23.67325499771347,1,1,0
3930166,Cristiano Ronaldo dos Santos Aveiro,11.400438588054413,38.66716447674432,0,1,0
3930166,Nuno Mendes,33.76758800980609,12.206258459311554,2,1,0
3930166,Rúben Santos Gato Alves Dias,23.683960817397075,16.5951053002497,1,1,0
3930166,João Pedro Cavaco Cancelo,21.356497840235882,15.54223874752455,1,1,0
3930166,Bruno Miguel Borges Fernandes,33.57260788202192,11.159916853285063,2,1,0
3930166,Cristiano Ronaldo dos Santos Aveiro,10.720541031123386,39.51668629557381,0,1,0
3930166,Vitor Machado Ferreira,24.446881191677598,17.768973043575393,2,1,0
3930166,Vitor Machado Ferreira,14.167568598739877,30.128213971107055,1,1,0
3930166,Cristiano Ronaldo dos Santos Aveiro,16.831518053936787,19.907343551825296,1,1,0
3930166,José Diogo Dalot Teixeira,26.06012279326404,14.086447283280991,1,1,0
3930166,Bernardo Mota Veiga de Carvalho e Silva,24.22436789681002,14.233986839628455,2,1,0
3930166,Cristiano Ronaldo dos Santos Aveiro,8.215229759416353,51.87132888062922,1,1,0
3930166,Cristiano Ronaldo dos Santos Aveiro,27.77210831031739,16.351542876146876,4,1,0
3930166,Rafael Alexandre Conceição Leão,23.034105148670307,10.653870657013533,0,1,0
3930166,Mojmír Chytil,12.529964086141673,35.12815323338343,1,1,0
3930166,Lukáš Provod,23.162469643800943,18.44485530305724,4,1,1
3930166,Nuno Mendes,10.558882516630252,22.728421478289373,1,1,0
3930166,Bernardo Mota Veiga de Carvalho e Silva,18.340392580312994,15.492283394053732,0,1,0
3930166,Vitor Machado Ferreira,29.115288080319594,15.432756891206312,0,1,0
3930166,Bruno Miguel Borges Fernandes,26.545244395183104,8.522831935105655,2,1,0
3930166,Petr Ševčík,14.610270360263705,29.386124878545214,1,1,0
3930166,Tomáš Souček,19.961212388028947,22.0875444448225,2,1,0
3930166,Francisco Fernandes Conceição,5.805170109479994,62.772599375549845,0,1,1
3930159,Roland Sallai,23.315445524372898,18.36944114293896,1,1,0
3930159,Kwadwo Duah,11.709824934643551,37.45869679977792,0,1,1
3930159,Fabian Lukas Schär,29.099828178186886,14.36679237474043,1,1,0
3930159,Fabian Lukas Schär,19.431160541768982,20.16763294487504,2,1,0
3930159,Willi Orban,8.700574693662485,49.37837328362999,0,1,0
3930159,Michel Aebischer,24.62214450449026,18.018976073970364,2,1,1
3930159,Kwadwo Duah,14.798986451781085,21.312177087798947,1,1,0
3930159,Kwadwo Duah,18.601075237738275,19.983106521899995,0,1,0
3930159,Ruben Vargas,15.033296378372913,23.474617598135367,1,1,0
3930159,Dan Ndoye,25.995576546789643,15.969020707839599,1,1,0
3930159,Barnabás Varga,8.57263086805912,48.769584305556265,0,1,0
3930159,Barnabás Varga,4.965883607174056,76.47417313636227,0,1,1
3930159,Roland Sallai,15.728000508646984,27.569396704519487,1,1,0
3930159,Dan Ndoye,18.30437106267243,15.819609539862112,0,1,0
3930159,Fabian Lukas Schär,7.116881339463236,57.11914108817754,1,1,0
3930159,Dan Ndoye,17.4928556845359,22.479434397103105,1,1,0
3930159,Vincent Sierro,30.900647242412248,13.696142752449253,1,1,0
3930159,Granit Xhaka,10.500476179678708,16.544089472933504,2,1,0
3930159,Breel-Donald Embolo,15.771493271088826,28.353872340501084,0,1,1
3930163,Jude Bellingham,6.618912297349159,62.224019803747616,1,1,1
