match_id,tiratore,squadra,minuto,periodo,differenza_reti,possesso_passaggi_precedenti,distanza,angolo,difensori_cono,portiere_cono,distanza_min_difensore,angolo_libero,n_giocatori_visibili,compagni_vicini_5m,avversari_vicini_5m,gk_distanza_da_porta,gk_distanza_da_tiratore,gk_offset_laterale,body_part,shot_type,shot_technique,play_pattern,position_tiratore,primo_tocco,porta_sguarnita,tiro_deviato,sotto_pressione,assist_altezza,assist_tecnica,assist_lunghezza,assist_cross,assist_cutback,assist_through_ball,distanza_x_angolo,angolo_libero_su_angolo_tot,pressione_relativa,xg_statsbomb_benchmark,goal
3857276,Mark Anthony Kaye,Canada,2,1,0,3,23.510423220350585,19.30345396765998,2,1,0.894676122383936,7.364612903163171,20,0,2,2.4110996696442974,21.11373561938688,0.17793477381278677,Left Foot,Open Play,Normal,Regular Play,Left Defensive Midfield,1,1,0,1,Ground Pass,,12.317468,1,0,1,453.8323723942418,0.38151788356122524,0.038054445638796744,0.038882375,0
3857276,Hakim Ziyech,Morocco,3,1,0,20,36.444615514503646,12.41215796309145,1,0,13.087464368893874,7.974553483578464,8,0,0,22.733358107021672,14.661895973748873,0.9783434251801424,Left Foot,Open Play,Lob,From Throw In,Right Wing,1,1,0,1,,,,0,0,0,452.3563246701527,0.6424792133077455,0.3591055683845954,0.024477394,1
3857276,Abdelhamid Sabiri,Morocco,8,1,1,0,33.23853185686757,13.708899258828232,3,1,10.4004096225813,3.689173355498703,20,1,0,1.786484256686733,31.784339516724796,1.0842347365184253,Right Foot,Free Kick,Normal,From Free Kick,Left Center Midfield,1,1,0,1,,,,0,0,0,455.6636847371504,0.26910791930453176,0.3129021963836355,0.02207015,0
3857276,Sofiane Boufal,Morocco,9,1,1,1,15.423683088030561,25.112519365201305,5,1,0.7586096496729567,0.0,18,0,2,1.7827737434757138,13.847393087920295,1.525199907675237,Left Foot,Open Play,Half Volley,From Corner,Left Wing,1,1,0,1,,,,0,0,0,387.3275402308953,0.0,0.049184727496227564,0.06158555,0
3857276,Hakim Ziyech,Morocco,15,1,1,11,26.5,14.69731927951188,1,0,2.9040190556093317,11.0904418632924,12,0,2,,,,Left Foot,Open Play,Normal,From Goal Kick,Right Wing,1,1,0,1,High Pass,,51.656754,1,0,1,389.47896090706485,0.7545894358267441,0.10958562473997478,0.022624016,0
3857276,Youssef En-Nesyri,Morocco,22,1,1,6,18.110770276274838,17.637995562297313,0,1,2.4308556672983905,12.056632253074902,5,0,1,5.841490029325703,12.323535316473027,3.7822576151541014,Right Foot,Open Play,Half Volley,From Throw In,Center Forward,1,1,0,1,High Pass,Through Ball,63.158928,1,0,1,319.4376857627217,0.6835602271522825,0.1342215505037253,0.10405799,1
3857276,Abdelhamid Sabiri,Morocco,32,1,2,10,13.418271125595869,30.543325053353197,2,1,0.9191727145453402,6.0452206145394385,13,1,3,5.171863404368139,8.707267055456608,3.652370788513025,Right Foot,Open Play,Normal,Regular Play,Left Center Midfield,1,1,0,1,Ground Pass,,8.0062475,1,0,1,409.8386166430981,0.19792280650451854,0.06850157564576131,0.09711841,0
3857276,Youssef En-Nesyri,Morocco,47,1,2,1,14.803040228277437,27.468303307985806,1,1,2.7272953696065434,14.083268302738828,15,1,1,2.2800443586328716,12.550060769959526,0.7340337845998874,Right Foot,Open Play,Volley,From Free Kick,Center Forward,1,1,0,1,,,,0,0,0,406.6143988706401,0.5127098002680212,0.1842388676615727,0.094470315,0
3857276,Alphonso Davies,Canada,57,2,-2,3,14.948244044034075,29.881515261612027,0,1,2.563675530929189,24.023545239300994,10,0,3,3.282754797678792,11.742103575522844,0.8813879084906588,Left Foot,Open Play,Volley,Regular Play,Center Attacking Midfield,1,1,0,1,High Pass,,28.650305,1,0,1,446.6761825361053,0.8039600746138664,0.17150345708681186,0.051903803,0
3857276,Atiba Hutchinson,Canada,70,2,-2,1,8.132035415564786,51.22281001579047,2,1,0.42082007741636446,0.0,18,2,5,5.044504362715927,3.4114701539179477,2.4792067999263168,Head,Open Play,Normal,From Corner,Left Defensive Midfield,1,1,0,1,High Pass,Outswinging,43.013138,1,0,1,416.54570513315474,0.0,0.05174843147029478,0.086874224,0
3857276,Alistair Johnston,Canada,70,2,-2,1,2.0000000000000027,141.34019174590983,1,0,1.0771271248418572,120.8303195463551,15,2,4,2.9854052566977205,4.431432012301262,2.825189039556527,Head,Open Play,Normal,From Corner,Right Back,1,1,0,1,,,,0,0,0,282.68038349182007,0.8548900214001001,0.538563562420928,0.638813,0
3857271,Harry Maguire,England,7,1,0,2,11.555085460523431,17.38733096845362,0,0,4.364911366953743,17.38733096845363,17,0,2,4.12660267400631,9.82336164786426,0.7920543340967328,Left Foot,Open Play,Half Volley,From Free Kick,Left Center Back,1,0,1,1,,,,0,0,0,200.91209527088722,1.0000000000000004,0.3777480817312811,0.23307544,0
3857271,Bukayo Saka,England,26,1,0,2,24.316660954991335,14.725423038485348,2,1,1.7469983717405886,0.0,16,0,2,2.713947602864835,21.6187290758235,1.4829010744457918,Left Foot,Open Play,Normal,Regular Play,Right Wing,1,0,1,1,Ground Pass,,34.338463,1,1,1,358.0731194456665,0.0,0.07184367849575139,0.028282227,0
3857271,Mason Mount,England,29,1,0,21,11.241441188744437,25.566026642844232,1,1,2.8004942480654575,13.176958112848231,15,0,2,4.194659246653301,7.14383482671482,3.7653547577926574,Right Foot,Open Play,Normal,From Free Kick,Center Attacking Midfield,1,0,1,1,Ground Pass,,18.901058,1,1,1,287.3989849354068,0.5154089173468173,0.24912235015466433,0.06697492,0
