match_id,tiratore,squadra,minuto,periodo,differenza_reti,possesso_passaggi_precedenti,distanza,angolo,difensori_cono,portiere_cono,distanza_min_difensore,angolo_libero,n_giocatori_visibili,compagni_vicini_5m,avversari_vicini_5m,gk_distanza_da_porta,gk_distanza_da_tiratore,gk_offset_laterale,body_part,shot_type,shot_technique,play_pattern,position_tiratore,primo_tocco,porta_sguarnita,tiro_deviato,sotto_pressione,assist_altezza,assist_tecnica,assist_lunghezza,assist_cross,assist_cutback,assist_through_ball,distanza_x_angolo,angolo_libero_su_angolo_tot,pressione_relativa,xg_statsbomb_benchmark,goal
3930166,Cristiano Ronaldo dos Santos Aveiro,Portugal,57,2,0,0,27.77210831031739,16.351542876146876,4,1,11.718483569820673,4.551894206273213,17,1,0,1.5393321992435378,26.664482080277235,0.9632733443233477,Right Foot,Free Kick,Normal,From Free Kick,Right Center Forward,1,0,0,1,,,,0,0,0,454.1168197971498,0.27837704617546366,0.42195152917026596,0.05240551,0
3930166,Rafael Alexandre Conceição Leão,Portugal,59,2,0,6,23.034105148670307,10.653870657013533,0,1,2.8272406569788786,6.797988082431637,16,0,2,5.199870728424992,17.83454512147187,4.398153951885256,Right Foot,Open Play,Normal,From Corner,Left Center Forward,1,0,0,1,High Pass,,28.65397,1,1,1,245.40237695398292,0.638076836230076,0.12274150173105758,0.008591539,0
3930166,Mojmír Chytil,Czech Republic,61,2,0,5,12.529964086141673,35.12815323338343,1,1,0.9208959923900343,0.0,17,1,3,1.0359268875549927,11.763317361544907,0.7806930122366893,Head,Open Play,Normal,From Goal Kick,Center Forward,1,0,0,1,High Pass,,32.381786,1,1,1,440.15449842677583,0.0,0.07349550134852813,0.040316492,0
3930166,Lukáš Provod,Czech Republic,61,2,0,7,23.162469643800943,18.44485530305724,4,1,5.457511181759203,1.8944152432056482,18,0,0,3.2933547078136627,21.64462647079831,3.2365877752122714,Right Foot,Open Play,Normal,From Goal Kick,Right Defensive Midfield,1,0,0,1,Ground Pass,,9.5,1,1,1,427.2284010413641,0.10270697232803168,0.2356187084402641,0.035857204,1
3930166,Nuno Mendes,Portugal,68,2,-1,19,10.558882516630252,22.728421478289373,1,1,0.6629250607476784,0.0,18,0,1,1.7869438073740054,9.342964439169,0.5604505847479686,Head,Open Play,Normal,From Throw In,Left Wing Back,1,0,0,1,High Pass,,30.263014,1,1,1,239.98673217771318,0.0,0.06278363829728863,0.045160558,0
3930166,Bernardo Mota Veiga de Carvalho e Silva,Portugal,71,2,-1,20,18.340392580312994,15.492283394053732,0,1,3.310627273645673,10.666706155947812,13,1,2,4.132673008690198,14.25223496929251,3.5850411972458147,Left Foot,Open Play,Normal,From Throw In,Center Attacking Midfield,1,0,0,1,,,,0,0,0,284.13455941240926,0.6885173660095787,0.18051016406264814,0.067471,0
3930166,Vitor Machado Ferreira,Portugal,77,2,-1,15,29.115288080319594,15.432756891206337,0,1,2.4760741420065777,12.848566646675415,17,0,1,2.8998182478628984,26.608243567054732,0.9447232243746129,Right Foot,Open Play,Normal,From Throw In,Right Defensive Midfield,1,0,0,1,Ground Pass,,15.008331,1,1,1,449.3291627610099,0.8325516132504228,0.08504377958328614,0.03203486,0
3930166,Bruno Miguel Borges Fernandes,Portugal,80,2,-1,2,26.545244395183108,8.522831935105698,2,1,1.875059636954877,0.0,20,0,1,3.0784486263642927,23.543946772188917,2.3173777183113557,Right Foot,Open Play,Normal,From Corner,Left Defensive Midfield,1,0,0,1,Ground Pass,,7.9075913,1,1,1,226.24065665645213,0.0,0.07063636744271697,0.0076566194,0
3930166,Petr Ševčík,Czech Republic,80,2,1,3,14.610270360263707,29.386124878545214,1,1,2.9694471101590953,14.118912507584856,12,0,1,3.236340137118187,11.40606052945396,1.3714232916412357,Left Foot,Open Play,Normal,From Throw In,Right Attacking Midfield,1,0,0,1,Ground Pass,,3.9,1,1,1,429.33922931601705,0.48046186987699974,0.20324381663978316,0.11256568,0
3930166,Tomáš Souček,Czech Republic,80,2,1,3,19.961212388028947,22.0875444448225,2,1,3.2929957993909,8.110192690853912,15,0,1,1.8137057787506,18.161425609744853,0.631969301822167,Left Foot,Open Play,Normal,From Throw In,Left Defensive Midfield,1,0,0,1,,,,0,0,0,440.8941657931308,0.36718398965146204,0.16496972906143523,0.06547854,0
