match_id,tiratore,distanza,angolo,difensori_cono,portiere_cono,distanza_min_difensore,body_part,shot_type,goal
3835320,Ada Stolsmo Hegerberg,13.579396157414362,24.964718332304546,1,1,1.1239890593713169,Left Foot,Open Play,0
3835320,Guro Reiten,12.277621919573837,34.325124451107314,2,1,1.138217431064835,Head,Open Play,0
3835320,Frida Maanum,30.710421683851887,14.837061733229543,2,0,2.3606402646116096,Right Foot,Open Play,0
3835320,Julie Blakstad,18.11573901335521,18.820599289945367,1,1,0.8101540174046741,Left Foot,Open Play,1
3835320,Rachel Furness,32.90243152108975,13.862060017873095,1,0,3.859241736220348,Left Foot,Open Play,0
3835320,Frida Maanum,26.85553946581599,16.37326404917262,1,0,3.676336143860657,Left Foot,Open Play,0
3835320,Frida Maanum,12.653062870309302,33.891457837247565,1,0,5.784920918208379,Right Foot,Open Play,1
3835320,Maria Thorisdottir,9.154780172128651,47.03247283759231,2,1,1.175678175430465,Right Foot,Open Play,0
3835320,Amalie Vevle Eikeland,11.962023240238253,31.407860043640408,0,1,1.290811913587897,Right Foot,Open Play,0
3835320,Frida Maanum,27.513814711886106,16.47887420642133,0,1,2.162870403161188,Right Foot,Open Play,0
3835320,Ada Stolsmo Hegerberg,9.154780172128659,21.856746605287466,0,0,4.857648336212258,Head,Open Play,0
3835320,Lauren Wade,23.035841638629144,17.594275021746007,1,1,3.2436618232344085,Left Foot,Open Play,0
3835320,Ada Stolsmo Hegerberg,8.075270893288968,52.44309127322985,1,1,2.424581421546022,Right Foot,Open Play,0
3835320,Caroline Graham Hansen,11.900420160649796,37.156345075648375,0,1,9.736053343614113,Right Foot,Penalty,1
3835320,Lauren Wade,18.764061394058594,22.264886826991404,1,1,0.8675565037507595,Left Foot,Open Play,0
3835320,Caroline Graham Hansen,24.813101378102655,17.753268635153336,1,1,5.319780151424015,Left Foot,Open Play,0
3835320,Ada Stolsmo Hegerberg,31.360006377550373,14.244380741542063,0,1,1.194254502668168,Right Foot,Open Play,0
3835320,Simone Magill,24.75176761364731,14.148034460711457,0,1,4.480554110219211,Right Foot,Open Play,0
3835320,Caroline Graham Hansen,22.858915109864686,17.694421005330934,1,1,2.354821410652263,Right Foot,Open Play,0
3835320,Rachel Furness,14.080127840328725,17.539108673485718,1,1,2.8328670433038106,Right Foot,Open Play,0
3835320,Julie Nelson,7.068238818828922,56.44442936198522,1,1,3.317416905143867,Head,Open Play,1
3835320,Lauren Wade,28.398943642325854,14.47029410006589,1,0,2.256495800734837,Left Foot,Open Play,0
3835320,Guro Reiten,21.110187114282052,19.482993334832223,5,1,9.044540135052937,Left Foot,Free Kick,1
3835320,Karina Sævik,19.241881404893864,20.889423801970747,4,1,1.3340950309976716,Right Foot,Open Play,0
3835320,Vilde Bøe Risa,21.966565503054863,20.496937728270343,3,1,1.5778165829048556,Right Foot,Open Play,0
3835320,Karina Sævik,13.520724832641186,25.62179648030252,0,1,1.5184803029136744,Left Foot,Open Play,0
3835320,Guro Reiten,17.53681841155915,18.93228124067648,0,0,2.425448908512724,Right Foot,Open Play,0
3835320,Caroline Graham Hansen,11.618089343777664,27.37214223374113,1,1,1.5824193764385086,Right Foot,Open Play,0
3835326,Tessa Wullaert,17.488853593074648,23.160886821649157,1,1,1.1663997724787878,Left Foot,Open Play,0
3835326,Dagný Brynjarsdóttir,8.980534505250795,47.76037506808125,0,1,2.4998075006361673,Head,Open Play,0
3835326,Sveindís Jane Jónsdóttir,25.598828098176682,12.625563788603262,0,1,3.0530796986659916,Left Foot,Open Play,0
3835326,Berglind Björg Þorvaldsdóttir,11.900420160649796,37.156345075648375,0,1,9.715145564068184,Right Foot,Penalty,0
3835326,Dagný Brynjarsdóttir,8.354639429682173,50.64406962176387,1,1,1.3953741769428536,Head,Open Play,0
